verticies,x,y,z
v, -0.583219, 3.676291, 1.132128
v, -0.573456, 3.709322, 1.128468
v, -0.589729, 3.657569, 1.092949
v, -1.025896, 4.216618, 0.504624
v, -1.037910, 4.169290, 0.507756
v, -0.993996, 4.191882, 0.528867
v, -0.777627, 4.275395, 0.783918
v, -0.817146, 4.326982, 0.727366
v, -0.783982, 4.247218, 0.768063
v, -0.661722, 4.429708, 0.974236
v, -0.657133, 4.513600, 1.040217
v, -0.725259, 4.477939, 0.946597
v, -1.319916, 4.239802, 0.608856
v, -1.298775, 4.184638, 0.586838
v, -1.265771, 4.232452, 0.605995
v, -1.179656, 3.546681, 0.771059
v, -1.227790, 3.574595, 0.753279
v, -1.204670, 3.546160, 0.790742
v, -1.430010, 4.239880, 0.046214
v, -1.379431, 4.206395, 0.030731
v, -1.446671, 4.199236, 0.052499
v, -1.472159, 4.314077, 0.260819
v, -1.474153, 4.383059, 0.293919
v, -1.482228, 4.374524, 0.215220
v, -1.490785, 4.332088, 0.120678
v, -1.487245, 4.264704, 0.114198
v, -1.449855, 4.287738, 0.166739
v, -1.262855, 4.558704, 0.429521
v, -1.272572, 4.571671, 0.387699
v, -1.331692, 4.570404, 0.425459
v, -1.436509, 2.700912, -0.228783
v, -1.482311, 2.734636, -0.189898
v, -1.452827, 2.761564, -0.218479
v, -0.434291, 0.702833, 0.361300
v, -0.437423, 0.643829, 0.345868
v, -0.385835, 0.689912, 0.413018
v, -0.453966, 0.110008, 0.073089
v, -0.469501, 0.060129, 0.054692
v, -0.474954, 0.063808, 0.127708
v, -0.425469, 2.836308, 0.847777
v, -0.403303, 2.773160, 0.824654
v, -0.394094, 2.850132, 0.846854
v, -0.609997, 2.377694, -0.200042
v, -0.634573, 2.410611, -0.140121
v, -0.586193, 2.366583, -0.148349
v, -0.491214, 2.271309, -0.154040
v, -0.519500, 2.327378, -0.112989
v, -0.464170, 2.286252, -0.082511
v, -0.555643, 2.340557, -0.096399
v, -0.597869, 2.358422, -0.119896
v, -0.642572, 2.294696, -0.127672
v, -0.325389, 1.670405, -0.357520
v, -0.383848, 1.613489, -0.366893
v, -0.401901, 1.640363, -0.309558
v, -0.447086, 2.662627, -0.016366
v, -0.436341, 2.681146, -0.047262
v, -0.427211, 2.619586, -0.032135
v, -0.508646, 0.438045, -0.220623
v, -0.527570, 0.465483, -0.164722
v, -0.511271, 0.498123, -0.220062
v, -0.539611, 1.531505, -0.121248
v, -0.487093, 1.633346, -0.160502
v, -0.496620, 1.585326, -0.204807
v, -0.516501, 0.630668, -0.209575
v, -0.436356, 0.525289, 0.333736
v, -0.473841, 0.532766, 0.279578
v, -0.401138, 0.436310, 0.361621
v, -0.146477, 1.298935, -0.552640
v, -0.067011, 1.341744, -0.569289
v, -0.010504, 1.194140, -0.580704
v, -0.657645, 2.384802, -0.244448
v, -0.616180, 2.305960, -0.228768
v, -0.695490, 2.403660, -0.265008
v, -0.535889, 1.520285, -0.047971
v, -0.518081, 1.621754, -0.025493
v, -0.533500, 1.585874, -0.077468
v, -0.508392, 0.901212, -0.234243
v, -0.494430, 1.011760, -0.270257
v, -0.443839, 0.959178, -0.356803
v, -0.319054, -0.013780, -0.541518
v, -0.552106, 0.807995, -0.073065
v, -0.538682, 0.925338, -0.165505
v, -0.518928, 0.810396, -0.185324
v, -0.811306, 2.939865, -0.147827
v, -0.758917, 2.948061, -0.094276
v, -0.787894, 2.994603, -0.127098
v, -1.557015, 2.859529, -0.122335
v, -1.567620, 2.824061, -0.153970
v, -1.614589, 2.815754, -0.109297
v, -1.259650, 2.834495, -0.102590
v, -1.326306, 2.854052, -0.063252
v, -1.340749, 2.893732, -0.063312
v, -0.511803, 2.875107, -0.056027
v, -0.530575, 2.950230, -0.081804
v, -0.494160, 2.913581, -0.113337
v, -0.983757, 2.721707, -0.142455
v, -0.944806, 2.671767, -0.169095
v, -0.999591, 2.749831, -0.172156
v, -0.665489, 3.505358, -0.414038
v, -0.673873, 3.436237, -0.351499
v, -0.698311, 3.510330, -0.396306
v, -0.867096, 3.105941, -0.228986
v, -0.817630, 3.059838, -0.217335
v, -0.819731, 3.004788, -0.217594
v, -0.863190, 3.352025, -0.202681
v, -0.824219, 3.257726, -0.134742
v, -0.876105, 3.277011, -0.223387
v, -1.178203, 3.714324, -0.306614
v, -1.173706, 3.711020, -0.255200
v, -1.204906, 3.767214, -0.299506
v, -1.454688, 4.486866, -0.013819
v, -1.408311, 4.512196, -0.075051
v, -1.390504, 4.447461, -0.018065
v, -0.729819, 3.805699, -0.113610
v, -0.763258, 3.888233, -0.099375
v, -0.725993, 3.853912, -0.135645
v, -0.619883, 3.566062, -0.186231
v, -0.584926, 3.608667, -0.162029
v, -0.587452, 3.557278, -0.159995
v, -0.563284, 3.236877, -0.208945
v, -0.573873, 3.281307, -0.192316
v, -0.597397, 3.288409, -0.251922
v, -1.131891, 3.894352, 0.178764
v, -1.143089, 3.938706, 0.174232
v, -1.113832, 3.915813, 0.210939
v, -0.905833, 3.427399, 0.288045
v, -0.875863, 3.494505, 0.318874
v, -0.919286, 3.500576, 0.272038
v, -0.762726, 3.995105, -0.087240
v, -0.783723, 3.969048, -0.070813
v, -0.774973, 4.046217, -0.065000
v, -0.840835, 4.433615, 0.069374
v, -0.781590, 4.410488, 0.095070
v, -0.808199, 4.419865, 0.038605
v, -1.187410, 4.043502, 0.141997
v, -1.134384, 4.008992, 0.152966
v, -1.207788, 3.999797, 0.141704
v, -0.918346, 3.448510, 0.075856
v, -0.894001, 3.463951, 0.094173
v, -0.860949, 3.417186, 0.071227
v, -0.734817, 3.014114, 0.344635
v, -0.737175, 3.000317, 0.309490
v, -0.675675, 2.952746, 0.334650
v, -0.940440, 3.096544, 0.567671
v, -0.934540, 3.117779, 0.535374
v, -0.920324, 3.063441, 0.561992
v, -0.800925, 3.356563, 0.061779
v, -0.915321, 3.387726, 0.064306
v, -0.384386, 3.764039, 0.313455
v, -0.376742, 3.816592, 0.333005
v, -0.340630, 3.793581, 0.314056
v, -0.764357, 3.079977, -0.083324
v, -0.791222, 3.125102, -0.082076
v, -0.820653, 3.105312, -0.099131
v, -0.773692, 3.861828, -0.071264
v, -0.754741, 3.808414, -0.084649
v, -0.753569, 3.825854, -0.061965
v, -0.657506, 4.407774, 0.116485
v, -0.613238, 4.416262, 0.110783
v, -0.612600, 4.386278, 0.147899
v, -0.869943, 4.346093, 0.036579
v, -0.808845, 4.372219, 0.021946
v, -0.824500, 4.327999, 0.003937
v, -0.410175, 4.015615, 0.222774
v, -0.367244, 3.990991, 0.209494
v, -0.386977, 3.971507, 0.261896
v, 0.155511, 2.455490, -0.159553
v, 0.088131, 2.530082, -0.207233
v, 0.082762, 2.431607, -0.207576
v, 0.560573, 2.720111, -0.290203
v, 0.629929, 2.755818, -0.333743
v, 0.543334, 2.741292, -0.303382
v, 0.110423, 3.922207, -0.149611
v, 0.101746, 3.881859, -0.182169
v, 0.062602, 3.893349, -0.152630
v, -0.376977, 3.029701, -0.163589
v, -0.355558, 2.993857, -0.181209
v, -0.388810, 2.981534, -0.139974
v, 0.210914, 3.429545, -0.311447
v, 0.185322, 3.459006, -0.294246
v, 0.237710, 3.499330, -0.293411
v, 0.595247, 3.569939, -0.431132
v, 0.552914, 3.519510, -0.464463
v, 0.586265, 3.524908, -0.430457
v, -0.058513, 2.458239, 0.069853
v, -0.084286, 2.533597, 0.052983
v, -0.065623, 2.568913, 0.061604
v, 0.089747, 3.947157, -0.067566
v, 0.101862, 3.887272, -0.068968
v, 0.137779, 3.929198, -0.100728
v, -0.385886, 3.336934, 0.121246
v, -0.308675, 3.367568, 0.131309
v, -0.315464, 3.324367, 0.108674
v, -0.099577, 4.323139, -0.031341
v, -0.082882, 4.296689, 0.006215
v, 0.280161, 3.166650, -0.221651
v, 0.235836, 3.192104, -0.203027
v, 0.210668, 3.142336, -0.172776
v, -0.209015, 2.833321, -0.060337
v, -0.141174, 2.773472, 0.017173
v, -0.237241, 2.744836, -0.079893
v, -0.337326, 3.148175, -0.211389
v, -0.331149, 3.165335, -0.262056
v, -0.326124, 3.083524, -0.238380
v, -0.500047, 3.022224, -0.261490
v, -0.534546, 3.046708, -0.278255
v, -0.519070, 3.104153, -0.282433
v, -0.311644, 2.588149, -0.177058
v, -0.271164, 2.626491, -0.176550
v, -0.252292, 2.546888, -0.168701
v, -0.216047, 2.686854, -0.070576
v, -0.264652, 2.707771, -0.158615
v, -0.098052, 2.219845, -0.464757
v, -0.112390, 2.133469, -0.412452
v, -0.112792, 2.143306, -0.380892
v, -0.029839, 1.708913, -0.449495
v, 0.029779, 1.745941, -0.431773
v, 0.001462, 1.689670, -0.473931
v, 0.000684, 2.264443, -0.495029
v, 0.018083, 2.345192, -0.536359
v, -0.025804, 2.304312, -0.471898
v, -0.958445, 2.481673, -0.289812
v, -1.040410, 2.519385, -0.305897
v, -1.000044, 2.534477, -0.284342
v, -0.480031, 1.413509, -0.299635
v, -0.497157, 1.504750, -0.251248
v, -0.431903, 1.395436, -0.373808
v, -0.191053, 1.453285, -0.533638
v, -0.215331, 1.408315, -0.532073
v, -0.220433, 1.501835, -0.523709
v, -0.168294, 1.554594, -0.509779
v, -0.253865, 1.593116, -0.474387
v, -0.161744, 1.106869, -0.551473
v, -0.070221, 1.133991, -0.578902
v, -0.093498, 1.081399, -0.569649
v, -0.148927, 1.208571, -0.557198
v, -0.376005, 1.353054, -0.426552
v, -0.363736, 1.481559, -0.429319
v, -0.401096, 1.823976, -0.083685
v, -0.368607, 1.875881, -0.190304
v, -0.376059, 1.771860, -0.168999
v, -0.172801, 1.753447, -0.389917
v, -0.152307, 1.701777, -0.428700
v, -0.220379, 1.709111, -0.377204
v, -0.316625, 1.922089, -0.272914
v, -0.267672, 1.917563, -0.316771
v, -0.290387, 1.808996, -0.290829
v, -0.153071, 1.994348, -0.054024
v, -0.202273, 2.024396, -0.111458
v, -0.170883, 2.049060, -0.085025
v, -0.350064, 1.995085, -0.202013
v, -0.387720, 1.982546, -0.156379
v, -0.328857, 1.996088, -0.152487
v, -0.153970, 1.971734, -0.280734
v, -0.211419, 1.992094, -0.328786
v, -0.253651, 1.994747, -0.315247
v, -0.417813, 2.123986, -0.164107
v, -0.509137, 2.189587, -0.191865
v, -0.470318, 2.209516, -0.179670
v, -0.018379, 2.364186, -0.642077
v, -0.163683, 1.926780, -0.225686
v, -0.126626, 1.938327, -0.230046
v, 0.147771, 2.835135, -0.171357
v, 0.100657, 2.894550, -0.191858
v, 0.098712, 2.852752, -0.197018
v, -0.115510, 2.057122, -0.349501
v, -0.147816, 2.005699, -0.315595
v, -0.087661, 2.068532, -0.303396
v, -0.002499, 1.754200, -0.028667
v, -0.001319, 1.782902, -0.060528
v, -0.279944, 1.744062, -0.318035
v, -0.071581, 1.866367, -0.026386
v, -0.127222, 1.902576, -0.061900
v, -0.063904, 1.912186, -0.001682
v, 0.537536, 2.646286, -0.245658
