what,x,y,z
v,-0.128718,-0.19793,-0.393579
v,-0.165962,-0.169031,-0.373097
v,-0.164159,-0.172242,-0.373599
v,-0.150723,-0.201531,-0.387134
v,-0.174052,-0.190919,-0.401011
v,-0.180089,-0.190155,-0.404877
v,-0.179853,-0.19251,-0.402467
v,-0.193411,-0.123888,-0.349605
v,-0.195619,-0.121378,-0.345546
v,-0.19457,-0.122849,-0.343288
v,-0.165517,-0.181748,-0.40567
v,-0.132855,-0.099368,-0.437011
v,-0.136091,-0.097518,-0.434891
v,-0.133153,-0.096114,-0.434425
v,-0.155326,-0.087048,-0.368377
v,-0.154927,-0.084528,-0.369837
v,-0.159858,-0.087137,-0.371132
v,-0.142526,-0.148798,-0.340423
v,-0.142941,-0.147494,-0.344613
v,-0.141059,-0.151472,-0.345333
v,-0.144323,-0.14619,-0.340355
v,-0.140277,-0.145173,-0.33441
v,-0.142013,-0.145985,-0.33169
v,-0.141319,-0.146352,-0.334086
v,-0.14569,-0.142788,-0.332008
v,-0.143539,-0.14301,-0.329549
v,-0.146221,-0.141352,-0.328401
v,-0.137627,-0.093971,-0.399502
v,-0.137913,-0.092196,-0.40004
v,-0.142227,-0.091835,-0.400026
v,-0.150885,-0.09693,-0.434307
v,-0.155061,-0.099245,-0.432444
v,-0.151882,-0.097258,-0.427643
v,-0.143377,-0.099074,-0.395162
v,-0.142645,-0.102255,-0.396449
v,-0.143188,-0.098048,-0.397934
v,-0.211219,-0.101139,-0.432302
v,-0.212949,-0.102586,-0.435501
v,-0.21701,-0.101429,-0.435781
v,-0.155452,-0.087855,-0.411084
v,-0.155159,-0.085865,-0.409164
v,-0.152815,-0.088189,-0.409881
v,-0.150203,-0.085571,-0.405425
v,-0.150897,-0.086564,-0.407877
v,-0.151912,-0.132222,-0.399741
v,-0.155077,-0.132981,-0.398321
v,-0.154181,-0.135473,-0.400002
v,-0.156578,-0.09054,-0.411998
v,-0.160218,-0.093704,-0.412584
v,-0.15974,-0.090361,-0.411039
v,-0.179221,-0.145043,-0.432675
v,-0.177138,-0.149461,-0.43176
v,-0.177214,-0.147407,-0.424295
v,-0.205807,-0.096784,-0.418157
v,-0.20192,-0.097589,-0.415816
v,-0.202278,-0.095761,-0.41744
v,-0.183191,-0.154156,-0.3715
v,-0.182418,-0.15179,-0.371318
v,-0.182146,-0.155473,-0.37418
v,-0.1864,-0.114197,-0.426001
v,-0.187307,-0.117589,-0.426318
v,-0.185369,-0.116042,-0.423347
v,-0.1815,-0.110505,-0.399444
v,-0.181763,-0.106696,-0.404338
v,-0.181328,-0.112516,-0.400694
v,-0.18132,-0.099675,-0.383193
v,-0.183417,-0.093675,-0.378851
v,-0.184147,-0.096086,-0.387209
v,-0.208378,-0.112122,-0.430547
v,-0.206311,-0.116117,-0.431183
v,-0.204945,-0.112735,-0.428708
v,-0.206544,-0.162359,-0.416202
v,-0.208813,-0.160263,-0.419061
v,-0.208821,-0.162368,-0.415926
v,-0.194108,-0.111637,-0.46931
v,-0.19045,-0.11412,-0.468415
v,-0.195412,-0.114542,-0.469598
v,-0.204653,-0.106343,-0.457576
v,-0.205941,-0.101389,-0.455524
v,-0.203503,-0.101948,-0.460683
v,-0.200538,-0.10494,-0.466879
v,-0.200149,-0.109796,-0.467232
v,-0.199788,-0.108224,-0.462569
v,-0.197818,-0.089142,-0.439048
v,-0.196838,-0.08817,-0.44197
v,-0.201892,-0.088189,-0.441857
v,-0.18585,-0.222335,-0.488458
v,-0.190089,-0.219855,-0.487733
v,-0.187176,-0.217946,-0.488356
v,-0.148333,-0.36816,-0.417206
v,-0.148011,-0.372397,-0.418349
v,-0.147298,-0.369195,-0.412226
v,-0.13939,-0.410676,-0.436449
v,-0.139711,-0.414234,-0.438226
v,-0.142775,-0.414,-0.433929
v,-0.16373,-0.214756,-0.384187
v,-0.161567,-0.219327,-0.384863
v,-0.161749,-0.213809,-0.383053
v,-0.136378,-0.246931,-0.456197
v,-0.140098,-0.244554,-0.453384
v,-0.136858,-0.247797,-0.452138
v,-0.130898,-0.254806,-0.449059
v,-0.134116,-0.250745,-0.447517
v,-0.131893,-0.253811,-0.443624
v,-0.136948,-0.249748,-0.44783
v,-0.13865,-0.248382,-0.450833
v,-0.141179,-0.252898,-0.453065
v,-0.113712,-0.298241,-0.456158
v,-0.117021,-0.302244,-0.458994
v,-0.120249,-0.300311,-0.456104
v,-0.132917,-0.226762,-0.43843
v,-0.13108,-0.225428,-0.439907
v,-0.131149,-0.229885,-0.438713
v,-0.131422,-0.3868,-0.456159
v,-0.134649,-0.384824,-0.453389
v,-0.131541,-0.382468,-0.456146
v,-0.135888,-0.308039,-0.449797
v,-0.131078,-0.300764,-0.45012
v,-0.130058,-0.304184,-0.453266
v,-0.132115,-0.372918,-0.455526
v,-0.147617,-0.380931,-0.419208
v,-0.147891,-0.380304,-0.423935
v,-0.146586,-0.387411,-0.416288
v,-0.09579,-0.325174,-0.461959
v,-0.090229,-0.322206,-0.459958
v,-0.086479,-0.332921,-0.458737
v,-0.137643,-0.24632,-0.460704
v,-0.13576,-0.252073,-0.458289
v,-0.139184,-0.244891,-0.463361
v,-0.138412,-0.308893,-0.44516
v,-0.138049,-0.301624,-0.44298
v,-0.137092,-0.304156,-0.446803
v,-0.130406,-0.353429,-0.456395
v,-0.128082,-0.345468,-0.457949
v,-0.121785,-0.349288,-0.461454
v,-0.110252,-0.419362,-0.476111
v,-0.11312,-0.419853,-0.47225
v,-0.108222,-0.419469,-0.469409
v,-0.139226,-0.360163,-0.448224
v,-0.134817,-0.351681,-0.453264
v,-0.132981,-0.359981,-0.453893
v,-0.150131,-0.206148,-0.459789
