what,x,y,z
vt,0.851718,0.600406,
vt,0.849444,0.598228,
vt,0.851221,0.596011,
vt,0.921403,0.875284,
vt,0.921076,0.874842,
vt,0.921501,0.87313,
vt,0.852072,0.566337,
vt,0.853004,0.566666,
vt,0.851983,0.568293,
vt,0.4324,0.93468,
vt,0.434187,0.933999,
vt,0.434215,0.935084,
vt,0.837838,0.708915,
vt,0.837319,0.705524,
vt,0.840275,0.70715,
vt,0.642075,0.852896,
vt,0.643511,0.854766,
vt,0.640461,0.853402,
vt,0.706209,0.72399,
vt,0.705934,0.722114,
vt,0.703115,0.7236,
vt,0.185307,0.848935,
vt,0.187369,0.846806,
vt,0.186218,0.844976,
vt,0.902437,0.775276,
vt,0.902893,0.777956,
vt,0.901269,0.777168,
vt,0.983562,0.791517,
vt,0.984526,0.792503,
vt,0.985347,0.792675,
vt,0.970982,0.979798,
vt,0.969574,0.980674,
vt,0.970334,0.980629,
vt,0.975969,0.909596,
vt,0.973333,0.910886,
vt,0.976269,0.910103,
vt,0.468434,0.825948,
vt,0.471681,0.826807,
vt,0.473337,0.827271,
vt,0.301112,0.70792,
vt,0.299781,0.709993,
vt,0.303765,0.710608,
vt,0.024978,0.724393,
vt,0.02552,0.72675,
vt,0.027488,0.726603,
vt,0.318717,0.715794,
vt,0.319186,0.717667,
vt,0.320224,0.716218,
vt,0.310241,0.716838,
vt,0.311663,0.718047,
vt,0.312969,0.717241,
vt,0.315097,0.711368,
vt,0.315858,0.708378,
vt,0.314297,0.710561,
vt,0.550208,0.617799,
vt,0.551921,0.617658,
vt,0.552554,0.61571,
vt,0.319516,0.709845,
vt,0.31902,0.710952,
vt,0.321835,0.711185,
vt,0.309705,0.711156,
vt,0.30743,0.708693,
vt,0.307832,0.711797,
vt,0.035475,0.722693,
vt,0.033553,0.720351,
vt,0.032593,0.721818,
vt,0.461656,0.754993,
vt,0.463433,0.755647,
vt,0.46097,0.755365,
vt,0.508291,0.979247,
vt,0.508643,0.980269,
vt,0.510068,0.97955,
vt,0.497339,0.857235,
vt,0.494492,0.85559,
vt,0.498739,0.85813,
vt,0.158365,0.771812,
vt,0.149087,0.77783,
vt,0.153893,0.774917,
vt,0.722065,0.931887,
vt,0.721009,0.931048,
vt,0.720367,0.931367,
vt,0.824575,0.775139,
vt,0.82299,0.774936,
vt,0.82107,0.775562,
vt,0.090418,0.816621,
vt,0.087155,0.817225,
vt,0.086831,0.818146,
vt,0.074033,0.812358,
vt,0.076186,0.811608,
vt,0.071778,0.810488,
vt,0.530088,0.889791,
vt,0.528885,0.889708,
vt,0.531552,0.890688,
vt,0.009494,0.867759,
vt,0.009715,0.86533,
vt,0.007469,0.866651,
vt,0.302115,0.907997,
vt,0.30212,0.909954,
vt,0.304106,0.908099,
vt,0.429662,0.763183,
vt,0.42835,0.763065,
vt,0.428818,0.761292,
vt,0.419298,0.763021,
vt,0.421515,0.765275,
vt,0.419963,0.766467,
vt,0.673981,0.57271,
vt,0.672768,0.571834,
vt,0.675269,0.574268,
vt,0.031929,0.719138,
vt,0.135714,0.825399,
vt,0.135171,0.828795,
vt,0.133902,0.828061,
vt,0.644285,0.566875,
vt,0.643963,0.569818,
vt,0.646481,0.570196,
vt,0.193761,0.89768,
vt,0.194857,0.897055,
vt,0.193622,0.896367,
vt,0.869705,0.755763,
vt,0.870717,0.753649,
vt,0.866397,0.753268,
vt,0.869508,0.752409,
vt,0.870162,0.748397,
vt,0.299197,0.712687,
vt,0.2963,0.712417,
vt,0.29582,0.714212,
vt,0.287485,0.715623,
vt,0.287544,0.716902,
vt,0.289756,0.716043,
vt,0.030358,0.720608,
vt,0.525862,0.639688,
vt,0.522967,0.638159,
vt,0.518769,0.641722,
vt,0.522601,0.644181,
vt,0.512412,0.636743,
vt,0.509697,0.638964,
vt,0.518435,0.631408,
vt,0.520827,0.632376,
vt,0.520089,0.630117,
vt,0.520446,0.636382,
vt,0.519972,0.634381,
vt,0.516521,0.634265,
vt,0.519898,0.628722,
vt,0.519231,0.63866,
vt,0.514853,0.630113,
vt,0.509221,0.631217,
vt,0.505833,0.633317,
vt,0.511599,0.632743,
vt,0.512495,0.624492,
vt,0.509585,0.626832,
vt,0.51325,0.628238,
vt,0.508756,0.624245,
vt,0.505444,0.626072,
vt,0.638335,0.785165,
vt,0.641747,0.788051,
vt,0.644374,0.785133,
vt,0.652208,0.788883,
vt,0.653216,0.786261,
vt,0.646842,0.786999,
vt,0.646704,0.789714,
vt,0.706066,0.721694,
vt,0.708967,0.721194,
vt,0.70672,0.721016,
vt,0.513074,0.622869,
vt,0.516918,0.625817,
vt,0.70561,0.730577,
vt,0.71045,0.732736,
vt,0.709309,0.730382,
vt,0.519595,0.624583,
vt,0.51645,0.62262,
vt,0.514786,0.621187,
vt,0.516555,0.626707,
vt,0.707168,0.726479,
vt,0.707733,0.725899,
vt,0.705462,0.725749,
vt,0.521495,0.62779,
vt,0.7109,0.731108,
vt,0.519704,0.621153,
vt,0.522116,0.621695,
vt,0.518386,0.619741,
vt,0.526173,0.621822,
vt,0.524136,0.619606,
vt,0.525965,0.624288,
vt,0.51993,0.618008,
vt,0.515926,0.621206,
vt,0.520565,0.622501,
vt,0.515083,0.617783,
vt,0.706949,0.722795,
vt,0.708174,0.724858,
vt,0.708585,0.723048,
vt,0.650453,0.784433,
vt,0.656793,0.782987,
vt,0.653357,0.782282,
vt,0.219039,0.898714,
vt,0.21698,0.896242,
vt,0.217475,0.898083,
vt,0.675147,0.783293,
vt,0.674326,0.781978,
vt,0.673173,0.783169,
vt,0.222916,0.893925,
vt,0.221177,0.895804,
vt,0.223723,0.897153,
vt,0.70669,0.720437,
vt,0.709943,0.71842,
vt,0.703898,0.719308,
vt,0.143515,0.604851,
vt,0.140716,0.607013,
vt,0.144701,0.605975,
vt,0.221261,0.899461,
vt,0.22196,0.897321,
vt,0.214706,0.895475,
vt,0.217839,0.894514,
vt,0.21533,0.893615,
vt,0.529685,0.624407,
vt,0.52806,0.62323,
vt,0.528456,0.625446,
vt,0.526311,0.619004,
vt,0.528149,0.621881,
vt,0.524776,0.627128,
vt,0.525422,0.628149,
vt,0.523347,0.626875,
vt,0.525876,0.629752,
vt,0.528236,0.631086,
vt,0.529337,0.630204,
vt,0.531429,0.636781,
vt,0.531377,0.634088,
vt,0.52947,0.634909,
vt,0.526534,0.637419,
vt,0.524057,0.63431,
vt,0.529339,0.639159,
vt,0.527558,0.63281,
vt,0.532793,0.648141,
vt,0.534416,0.645486,
vt,0.531703,0.646371,
vt,0.531573,0.641656,
vt,0.529835,0.64167,
vt,0.529564,0.645112,
vt,0.527505,0.644807,
vt,0.533305,0.639382,
vt,0.533313,0.634844,
vt,0.52804,0.638875,
vt,0.527035,0.641393,
vt,0.525739,0.643013,
vt,0.531892,0.644497,
vt,0.524396,0.645444,
vt,0.530879,0.639418,
vt,0.523162,0.629486,
vt,0.522638,0.632005,
vt,0.524715,0.632533,
vt,0.526307,0.628576,
vt,0.530906,0.631689,
vt,0.530074,0.626595,
vt,0.50881,0.977356,
vt,0.510151,0.976843,
vt,0.509723,0.97662,
vt,0.528369,0.647951,
vt,0.524794,0.649108,
vt,0.534341,0.640637,
vt,0.535772,0.643023,
vt,0.535898,0.6465,
vt,0.537812,0.64803,
vt,0.537136,0.641947,
vt,0.539137,0.644647,
vt,0.537921,0.64101,
vt,0.5353,0.638733,
vt,0.533457,0.633298,
vt,0.537588,0.637474,
vt,0.536994,0.634005,
vt,0.531584,0.629655,
vt,0.533906,0.631786,
vt,0.532631,0.628417,
vt,0.53531,0.631101,
vt,0.534957,0.628129,
vt,0.533435,0.627115,
vt,0.511105,0.645581,
vt,0.50668,0.644959,
vt,0.506713,0.648631,
vt,0.504736,0.628375,
vt,0.501056,0.635391,
vt,0.50421,0.637182,
vt,0.501438,0.649742,
vt,0.503022,0.643712,
vt,0.498384,0.638545,
vt,0.514931,0.647466,
vt,0.521513,0.646314,
vt,0.708925,0.725603,
vt,0.710261,0.727549,
vt,0.701013,0.724389,
vt,0.699046,0.725241,
vt,0.703342,0.72784,
vt,0.705977,0.729001,
vt,0.709319,0.727816,
vt,0.712018,0.72627,
vt,0.703943,0.732931,
vt,0.70197,0.730747,
vt,0.699017,0.728127,
vt,0.708373,0.728889,
vt,0.262394,0.952968,
vt,0.263237,0.953519,
vt,0.26281,0.952212,
vt,0.431637,0.756142,
vt,0.434035,0.755291,
vt,0.434548,0.75905,
vt,0.529944,0.621243,
vt,0.265676,0.95448,
vt,0.26461,0.953457,
vt,0.266805,0.953617,
vt,0.266934,0.954407,
vt,0.524714,0.617541,
vt,0.532174,0.624212,
vt,0.697601,0.723559,
vt,0.266199,0.953218,
vt,0.265112,0.953315,
vt,0.267716,0.954589,
vt,0.264598,0.952544,
vt,0.715669,0.725305,
vt,0.716394,0.725131,
vt,0.715075,0.72317,
vt,0.713451,0.724761,
vt,0.714233,0.726139,
vt,0.714766,0.728078,
vt,0.718537,0.72792,
vt,0.712534,0.723596,
vt,0.710908,0.722832,
vt,0.710991,0.724488,
vt,0.702,0.721829,
vt,0.70415,0.721069,
vt,0.261432,0.951234,
vt,0.261398,0.951919,
vt,0.263716,0.951578,
vt,0.213225,0.900354,
vt,0.213566,0.9018,
vt,0.213564,0.89984,
vt,0.213166,0.893654,
vt,0.213065,0.896256,
vt,0.214137,0.894292,
vt,0.213278,0.896459,
vt,0.213727,0.897965,
vt,0.212967,0.898012,
vt,0.266036,0.951329,
vt,0.214257,0.900978,
vt,0.216572,0.899575,
vt,0.214556,0.897545,
vt,0.214261,0.899114,
vt,0.266538,0.952355,
vt,0.713171,0.72176,
vt,0.715619,0.727422,
vt,0.699251,0.721489,
vt,0.700512,0.72073,
vt,0.703522,0.720379,
vt,0.70143,0.720452,
vt,0.696661,0.72028,
vt,0.697555,0.719463,
vt,0.701824,0.719363,
vt,0.700011,0.719723,
vt,0.694796,0.720698,
vt,0.694127,0.719284,
vt,0.839838,0.922271,
vt,0.83923,0.920863,
vt,0.838233,0.921955,
vt,0.691444,0.719471,
vt,0.837121,0.921027,
vt,0.837023,0.921897,
vt,0.690481,0.721044,
vt,0.688605,0.724044,
vt,0.692667,0.723363,
vt,0.836559,0.922561,
vt,0.835069,0.922805,
vt,0.835476,0.923494,
vt,0.835679,0.922387,
vt,0.511308,0.973274,
vt,0.510278,0.972518,
vt,0.510826,0.974201,
vt,0.692775,0.721171,
vt,0.835433,0.920935,
vt,0.693149,0.72907,
vt,0.695174,0.727805,
vt,0.691361,0.726709,
vt,0.693923,0.726211,
vt,0.834789,0.922224,
vt,0.833832,0.922694,
vt,0.834081,0.921613,
vt,0.836899,0.920076,
vt,0.839229,0.919643,
vt,0.694027,0.731258,
vt,0.701371,0.734247,
vt,0.700001,0.73992,
vt,0.703612,0.735861,
vt,0.706465,0.734021,
vt,0.501732,0.629823,
vt,0.698391,0.737012,
vt,0.692756,0.734559,
vt,0.693574,0.739003,
vt,0.495402,0.633439,
vt,0.692703,0.743925,
vt,0.687659,0.728751,
vt,0.687238,0.731878,
vt,0.833387,0.9229,
vt,0.832008,0.923449,
vt,0.833208,0.923843,
vt,0.832287,0.920794,
vt,0.832514,0.922051,
vt,0.683604,0.728397,
vt,0.685056,0.730955,
vt,0.833051,0.924846,
vt,0.830957,0.925017,
vt,0.686421,0.735043,
vt,0.683053,0.73453,
vt,0.685606,0.737735,
vt,0.686644,0.743446,
vt,0.036755,0.679716,
vt,0.038364,0.683095,
vt,0.035951,0.682373,
vt,0.496939,0.646915,
vt,0.039904,0.682255,
vt,0.032158,0.682189,
vt,0.033019,0.679623,
vt,0.43832,0.654601,
vt,0.440539,0.653129,
vt,0.437009,0.651918,
vt,0.681575,0.731193,
vt,0.678977,0.736673,
vt,0.68161,0.738223,
vt,0.443966,0.653747,
vt,0.441485,0.651177,
vt,0.44166,0.654656,
vt,0.515023,0.608252,
vt,0.516804,0.608755,
vt,0.518256,0.605794,
vt,0.513842,0.610192,
vt,0.514921,0.611241,
vt,0.591574,0.880588,
vt,0.592239,0.883578,
vt,0.591423,0.882055,
vt,0.004972,0.696788,
vt,0.00446,0.695197,
vt,0.006039,0.693569,
vt,0.007468,0.696615,
vt,0.272598,0.733323,
vt,0.272337,0.73527,
vt,0.271147,0.736731,
vt,0.113586,0.648242,
vt,0.11251,0.651617,
vt,0.110477,0.646546,
vt,0.025556,0.685707,
vt,0.026956,0.682077,
vt,0.027868,0.686952,
vt,0.109483,0.607742,
vt,0.10998,0.606447,
vt,0.106069,0.607844,
vt,0.526148,0.671753,
vt,0.525691,0.669252,
vt,0.521063,0.671681,
vt,0.105387,0.610099,
vt,0.024141,0.682717,
vt,0.028347,0.68402,
vt,0.030047,0.688571,
vt,0.027865,0.681682,
vt,0.030646,0.683045,
vt,0.033414,0.685986,
vt,0.026256,0.679967,
vt,0.027441,0.67942,
vt,0.652148,0.704128,
vt,0.653573,0.707787,
vt,0.657695,0.705012,
vt,0.653382,0.71691,
vt,0.656596,0.712184,
vt,0.024232,0.679794,
vt,0.849781,0.626149,
vt,0.849511,0.624535,
vt,0.84773,0.625675,
vt,0.680574,0.683085,
vt,0.685711,0.683686,
vt,0.683644,0.685453,
vt,0.850993,0.628398,
vt,0.850946,0.625144,
vt,0.854928,0.628846,
vt,0.6875,0.682361,
vt,0.687207,0.687821,
vt,0.685205,0.686732,
vt,0.109236,0.610386,
vt,0.103631,0.612007,
vt,0.105637,0.613021,
vt,0.110754,0.61335,
vt,0.856486,0.63304,
vt,0.853018,0.631676,
vt,0.112209,0.610618,
vt,0.111318,0.608839,
vt,0.831835,0.588622,
vt,0.833529,0.588118,
vt,0.831926,0.589767,
vt,0.854477,0.634111,
vt,0.859984,0.633213,
vt,0.853433,0.633715,
vt,0.982117,0.847388,
vt,0.978152,0.847385,
vt,0.980463,0.848327,
vt,0.107641,0.610524,
vt,0.114491,0.611615,
vt,0.1119,0.612036,
vt,0.983606,0.844455,
vt,0.980195,0.846408,
vt,0.983656,0.846157,
vt,0.984344,0.844982,
vt,0.113858,0.613636,
vt,0.100047,0.613631,
vt,0.114027,0.60986,
vt,0.113821,0.61472,
vt,0.860786,0.631905,
vt,0.858249,0.63215,
vt,0.980528,0.849884,
vt,0.982221,0.849048,
vt,0.981196,0.852246,
vt,0.981028,0.85391,
vt,0.981879,0.851568,
vt,0.976052,0.849834,
vt,0.976169,0.848494,
vt,0.690515,0.680738,
vt,0.689397,0.676341,
vt,0.691325,0.677665,
vt,0.97862,0.851119,
vt,0.975267,0.851472,
vt,0.686792,0.678354,
vt,0.686853,0.676093,
vt,0.973413,0.850063,
vt,0.97147,0.851704,
vt,0.689225,0.681819,
vt,0.683323,0.681239,
vt,0.677307,0.681648,
vt,0.6831,0.677506,
vt,0.683715,0.672476,
vt,0.680584,0.677069,
vt,0.674396,0.680626,
vt,0.676446,0.676489,
vt,0.672682,0.676099,
vt,0.669883,0.679497,
vt,0.669935,0.67536,
vt,0.676948,0.681055,
vt,0.858425,0.615781,
vt,0.86182,0.614509,
vt,0.859764,0.613417,
vt,0.861821,0.616542,
vt,0.862504,0.611739,
vt,0.865991,0.610438,
vt,0.863747,0.615147,
vt,0.868047,0.61179,
vt,0.667181,0.67774,
vt,0.866336,0.616828,
vt,0.86187,0.620132,
vt,0.863573,0.621433,
vt,0.679299,0.672894,
vt,0.976665,0.856296,
vt,0.97681,0.854622,
vt,0.975301,0.855373,
vt,0.868219,0.628124,
vt,0.870834,0.62804,
vt,0.871555,0.627221,
vt,0.873788,0.623194,
vt,0.869854,0.622806,
vt,0.872525,0.625034,
vt,0.865491,0.623888,
vt,0.864437,0.62731,
vt,0.868394,0.626762,
vt,0.866204,0.629575,
vt,0.861598,0.627012,
vt,0.874885,0.625969,
vt,0.977367,0.852367,
vt,0.979219,0.854167,
vt,0.980227,0.852039,
vt,0.866527,0.630398,
vt,0.864217,0.631218,
vt,0.863715,0.6306,
vt,0.97431,0.853248,
vt,0.97203,0.853812,
vt,0.972313,0.855444,
vt,0.973978,0.857035,
vt,0.859534,0.617833,
vt,0.858382,0.621206,
vt,0.857498,0.616374,
vt,0.857414,0.618652,
vt,0.856953,0.619389,
vt,0.626089,0.576882,
vt,0.627065,0.579505,
vt,0.627212,0.575894,
vt,0.855483,0.622292,
vt,0.858966,0.624376,
vt,0.859159,0.627423,
vt,0.855432,0.61931,
vt,0.857526,0.625546,
vt,0.861701,0.630009,
vt,0.852826,0.624147,
vt,0.977488,0.85632,
vt,0.85297,0.622022,
vt,0.868866,0.617339,
vt,0.85655,0.617865,
vt,0.855891,0.848778,
vt,0.852915,0.847273,
vt,0.854488,0.848381,
vt,0.209664,0.873732,
vt,0.211865,0.873195,
vt,0.210069,0.872271,
vt,0.207915,0.873098,
vt,0.208082,0.873878,
vt,0.194386,0.84094,
vt,0.194524,0.843025,
vt,0.194664,0.842346,
vt,0.20812,0.875186,
vt,0.206782,0.87392,
vt,0.098766,0.970711,
vt,0.098671,0.970584,
vt,0.097991,0.970659,
vt,0.097511,0.970402,
vt,0.099678,0.970823,
vt,0.626432,0.982921,
vt,0.6293,0.982533,
vt,0.624532,0.98289,
vt,0.205972,0.875061,
vt,0.206105,0.875843,
vt,0.206375,0.876321,
vt,0.627873,0.983548,
vt,0.630058,0.982635,
vt,0.09819,0.971149,
vt,0.189864,0.843409,
vt,0.191313,0.841784,
vt,0.189334,0.842371,
vt,0.148628,0.826283,
vt,0.148362,0.824594,
vt,0.151184,0.82644,
vt,0.148398,0.824059,
vt,0.196613,0.840099,
vt,0.194002,0.839444,
vt,0.193067,0.840084,
vt,0.197573,0.84243,
vt,0.197874,0.841361,
vt,0.206782,0.873644,
vt,0.207405,0.872701,
vt,0.09517,0.970748,
vt,0.096656,0.970668,
vt,0.095703,0.970112,
vt,0.094291,0.970056,
vt,0.212257,0.871424,
vt,0.863314,0.851344,
vt,0.859986,0.850514,
vt,0.862824,0.85295,
vt,0.859726,0.851591,
vt,0.210322,0.871604,
vt,0.21144,0.870549,
vt,0.867097,0.849859,
vt,0.864587,0.852749,
vt,0.869028,0.852891,
vt,0.909129,0.750603,
vt,0.911159,0.752694,
vt,0.911282,0.752098,
vt,0.915042,0.754024,
vt,0.913304,0.753139,
vt,0.911512,0.75338,
vt,0.187824,0.844544,
vt,0.187928,0.845524,
vt,0.188827,0.844049,
vt,0.916148,0.755241,
vt,0.918109,0.756336,
vt,0.91642,0.754695,
vt,0.917363,0.75704,
vt,0.1899,0.841012,
vt,0.146193,0.824553,
vt,0.146637,0.825141,
vt,0.186914,0.842899,
vt,0.18363,0.845549,
vt,0.918269,0.758667,
vt,0.919614,0.760224,
vt,0.919191,0.758931,
vt,0.204377,0.875785,
vt,0.182816,0.847666,
vt,0.921622,0.759643,
vt,0.921239,0.759166,
vt,0.922475,0.761276,
vt,0.142617,0.824433,
vt,0.143052,0.822058,
vt,0.094931,0.969824,
vt,0.186313,0.849445,
vt,0.208571,0.872338,
vt,0.213631,0.871963,
vt,0.213395,0.869976,
vt,0.866648,0.854477,
vt,0.859891,0.852588,
vt,0.860835,0.852997,
vt,0.210346,0.87077,
vt,0.209414,0.871614,
vt,0.093631,0.969826,
vt,0.562428,0.891438,
vt,0.560487,0.891681,
vt,0.561432,0.892229,
vt,0.215646,0.867934,
vt,0.21108,0.869428,
vt,0.092222,0.970856,
vt,0.094113,0.971125,
vt,0.092644,0.970015,
vt,0.919568,0.756784,
vt,0.920746,0.759724,
vt,0.149565,0.828596,
vt,0.150694,0.828057,
vt,0.912072,0.751014,
vt,0.913097,0.752068,
vt,0.199812,0.842373,
vt,0.909921,0.74945,
vt,0.150389,0.8304,
vt,0.153524,0.831003,
vt,0.152294,0.831789,
vt,0.09222,0.969603,
vt,0.154508,0.829129,
vt,0.146617,0.821792,
vt,0.906158,0.749326,
vt,0.904237,0.746982,
vt,0.903653,0.747805,
vt,0.906872,0.748525,
vt,0.90619,0.745984,
vt,0.205258,0.841949,
vt,0.208287,0.843141,
vt,0.205388,0.840518,
vt,0.216426,0.8695,
vt,0.202284,0.841986,
vt,0.204238,0.842531,
vt,0.915427,0.753464,
vt,0.906088,0.745146,
vt,0.907937,0.747083,
vt,0.901144,0.74551,
vt,0.90777,0.747949,
vt,0.158399,0.835209,
vt,0.159676,0.835308,
vt,0.158245,0.837749,
vt,0.157859,0.833525,
vt,0.158569,0.837846,
vt,0.15807,0.835275,
vt,0.157382,0.832492,
vt,0.903653,0.744955,
vt,0.439378,0.769833,
vt,0.43769,0.772422,
vt,0.437938,0.770418,
vt,0.436919,0.770259,
vt,0.902479,0.743439,
vt,0.200908,0.838492,
vt,0.198081,0.838431,
vt,0.196619,0.838886,
vt,0.155955,0.833305,
vt,0.155819,0.831354,
vt,0.194544,0.839179,
vt,0.200891,0.841678,
vt,0.202127,0.840916,
vt,0.434149,0.769482,
vt,0.435605,0.773979,
vt,0.43799,0.774072,
vt,0.099783,0.612178,
vt,0.847611,0.627518,
vt,0.845866,0.627992,
vt,0.845414,0.629758,
vt,0.850046,0.630547,
vt,0.847881,0.62974,
vt,0.440145,0.764832,
vt,0.439317,0.764153,
vt,0.4401,0.760983,
vt,0.689102,0.684469,
vt,0.44119,0.764533,
vt,0.439441,0.767489,
vt,0.438027,0.765277,
vt,0.843097,0.63034,
vt,0.101224,0.610273,
vt,0.84799,0.631317,
vt,0.846506,0.632365,
vt,0.84428,0.631957,
vt,0.849137,0.633724,
vt,0.851258,0.635282,
vt,0.845107,0.633988,
vt,0.849491,0.635354,
vt,0.09868,0.611183,
vt,0.096113,0.608893,
vt,0.094729,0.610125,
vt,0.097561,0.61351,
vt,0.091635,0.612039,
vt,0.091753,0.614307,
vt,0.093839,0.610735,
vt,0.091035,0.611021,
vt,0.088834,0.613504,
vt,0.090697,0.623013,
vt,0.093214,0.619362,
vt,0.091952,0.619886,
vt,0.037043,0.948242,
vt,0.038986,0.946735,
vt,0.035067,0.949274,
vt,0.041972,0.946763,
vt,0.435978,0.767295,
vt,0.440256,0.767735,
vt,0.44004,0.766442,
vt,0.438494,0.760337,
vt,0.437811,0.762283,
vt,0.439397,0.759136,
vt,0.434182,0.7653,
vt,0.436568,0.762675,
vt,0.89984,0.744173,
vt,0.433454,0.76776,
vt,0.42486,0.75504,
vt,0.426234,0.7541,
vt,0.425403,0.755628,
vt,0.433034,0.752112,
vt,0.431295,0.75347,
vt,0.428946,0.753219,
vt,0.433829,0.753348,
vt,0.427237,0.754889,
vt,0.429343,0.754974,
vt,0.418364,0.75676,
vt,0.418406,0.757734,
vt,0.415217,0.758474,
vt,0.414194,0.759958,
vt,0.422229,0.754537,
vt,0.422581,0.756878,
vt,0.419613,0.757529,
vt,0.421535,0.756211,
vt,0.413511,0.760866,
vt,0.419199,0.759852,
vt,0.417255,0.761769,
vt,0.415597,0.760585,
vt,0.416529,0.759312,
vt,0.557487,0.890785,
vt,0.864797,0.854213,
vt,0.126883,0.88679,
vt,0.127978,0.88506,
vt,0.125641,0.885945,
vt,0.113178,0.608283,
vt,0.11475,0.603712,
vt,0.114468,0.604008,
vt,0.116268,0.606756,
vt,0.113164,0.605623,
vt,0.851253,0.636441,
vt,0.854154,0.635922,
vt,0.111065,0.603603,
vt,0.110093,0.604796,
vt,0.851084,0.637648,
vt,0.854273,0.637089,
vt,0.848141,0.636075,
vt,0.855729,0.637654,
vt,0.848964,0.639775,
vt,0.344573,0.951564,
vt,0.341447,0.951073,
vt,0.341874,0.951678,
vt,0.339534,0.950803,
vt,0.339979,0.951164,
vt,0.34058,0.95134,
vt,0.852903,0.638644,
vt,0.112544,0.601479,
vt,0.108964,0.602175,
vt,0.529734,0.676151,
vt,0.528906,0.673218,
vt,0.526621,0.67753,
vt,0.116232,0.595649,
vt,0.111811,0.597591,
vt,0.116213,0.597582,
vt,0.118908,0.594914,
vt,0.121083,0.596397,
vt,0.121741,0.595815,
vt,0.121793,0.592953,
vt,0.11605,0.593396,
vt,0.118654,0.591099,
vt,0.123129,0.591758,
vt,0.533193,0.678989,
vt,0.531783,0.674986,
vt,0.120703,0.598079,
vt,0.11682,0.599516,
vt,0.115802,0.601756,
vt,0.11665,0.603571,
vt,0.116965,0.606263,
vt,0.119737,0.60063,
vt,0.916602,0.911617,
vt,0.919032,0.910322,
vt,0.917482,0.907826,
vt,0.858541,0.636811,
vt,0.860608,0.635112,
vt,0.91989,0.911228,
vt,0.856543,0.638887,
vt,0.115406,0.60888,
vt,0.117635,0.607822,
vt,0.983671,0.851321,
vt,0.983355,0.852157,
vt,0.985405,0.849847,
vt,0.985586,0.848019,
vt,0.987169,0.844803,
vt,0.988586,0.845567,
vt,0.987523,0.843891,
vt,0.116816,0.614253,
vt,0.11593,0.611979,
vt,0.116975,0.612263,
vt,0.984311,0.849874,
vt,0.983566,0.849772,
vt,0.988282,0.848174,
vt,0.986793,0.848334,
vt,0.980899,0.850876,
vt,0.657604,0.70729,
vt,0.922098,0.913532,
vt,0.919519,0.912529,
vt,0.920453,0.915192,
vt,0.988472,0.846949,
vt,0.990663,0.845409,
vt,0.3732,0.880255,
vt,0.374665,0.880808,
vt,0.373644,0.880268,
vt,0.922764,0.915375,
vt,0.990114,0.843718,
vt,0.859543,0.637331,
vt,0.921336,0.911928,
vt,0.567894,0.907355,
vt,0.564224,0.907094,
vt,0.565218,0.906548,
vt,0.535675,0.678233,
vt,0.536696,0.67606,
vt,0.534848,0.676935,
vt,0.123296,0.59474,
vt,0.124744,0.597559,
vt,0.534746,0.67443,
vt,0.538417,0.670157,
vt,0.535233,0.671353,
vt,0.540186,0.671214,
vt,0.531696,0.671834,
vt,0.532826,0.673226,
vt,0.12519,0.594524,
vt,0.534026,0.667548,
vt,0.538577,0.667935,
vt,0.535863,0.666577,
vt,0.664411,0.708842,
vt,0.667203,0.706022,
vt,0.664635,0.706313,
vt,0.663894,0.7037,
vt,0.666879,0.702783,
vt,0.662853,0.70543,
vt,0.532961,0.666372,
vt,0.53248,0.66258,
vt,0.529407,0.664748,
vt,0.661088,0.715054,
vt,0.66516,0.711548,
vt,0.661628,0.710788,
vt,0.659759,0.705502,
vt,0.661103,0.702344,
vt,0.655108,0.699308,
vt,0.658334,0.69752,
vt,0.6567,0.694175,
vt,0.656802,0.702211,
vt,0.658898,0.708031,
vt,0.535579,0.664679,
vt,0.659478,0.700204,
vt,0.66155,0.700379,
vt,0.663679,0.701118,
vt,0.662409,0.698001,
vt,0.661557,0.694489,
vt,0.669074,0.710484,
vt,0.669948,0.707789,
vt,0.542035,0.666136,
vt,0.540845,0.664713,
vt,0.538562,0.664603,
vt,0.670033,0.698836,
vt,0.665993,0.698758,
vt,0.542377,0.669422,
vt,0.540484,0.668785,
vt,0.670956,0.7023,
vt,0.670427,0.7055,
vt,0.535467,0.662022,
vt,0.67382,0.705652,
vt,0.664985,0.691252,
vt,0.667517,0.695124,
vt,0.660814,0.68937,
vt,0.029354,0.678612,
vt,0.029619,0.680277,
vt,0.658368,0.714198,
vt,0.529378,0.667548,
vt,0.532651,0.669772,
vt,0.529063,0.670417,
vt,0.530523,0.670786,
vt,0.530342,0.668169,
vt,0.113419,0.65875,
vt,0.115185,0.659061,
vt,0.112007,0.66109,
vt,0.925589,0.780043,
vt,0.925278,0.779791,
vt,0.926476,0.77865,
vt,0.020187,0.680153,
vt,0.027298,0.704462,
vt,0.030176,0.702386,
vt,0.03106,0.704608,
vt,0.523516,0.666331,
vt,0.527393,0.663803,
vt,0.245397,0.845029,
vt,0.246568,0.84437,
vt,0.246936,0.845393,
vt,0.536882,0.68046,
vt,0.542467,0.674362,
vt,0.541954,0.677113,
vt,0.542793,0.680888,
vt,0.12889,0.598777,
vt,0.123292,0.599436,
vt,0.124779,0.599296,
vt,0.128764,0.603423,
vt,0.1266,0.602212,
vt,0.126593,0.604222,
