verticies,x,y,z
v, 0.126967, 1.701940, -0.440309
v, -0.059808, 1.661828, -0.488798
v, 0.036582, 1.867620, -0.431161
v, 0.208480, 2.135226, -0.065493
v, 0.325045, 2.183883, -0.054023
v, 0.268066, 2.128909, -0.086182
v, -0.094970, 1.947198, -0.418942
v, -0.024087, 1.951822, -0.437159
v, 0.170825, 2.865096, -0.259769
v, 0.132750, 3.025808, -0.365055
v, 0.083452, 2.857541, -0.320050
v, -0.365503, 2.399391, -0.119873
v, -0.283416, 2.340963, -0.034934
v, -0.240897, 2.278791, -0.080000
v, -0.709895, 2.244169, -0.228630
v, -0.777526, 2.300176, -0.257637
v, -0.702851, 2.206547, -0.319368
v, -0.434088, 2.400671, -0.174158
v, -0.434304, 2.316276, -0.159192
v, -0.402807, 2.263173, -0.126104
v, -0.689286, 3.578825, -0.091999
v, -0.629054, 3.448923, -0.152770
v, -0.662534, 3.518429, -0.004882
v, -0.607944, 3.330774, 0.061616
v, -0.690573, 3.411109, -0.037073
v, -0.658553, 3.304834, 0.016550
v, -0.632130, 3.280533, -0.149789
v, -0.114334, 3.257814, 1.109456
v, -0.177163, 3.172938, 1.016505
v, -0.136750, 3.127445, 1.024911
v, -0.736769, 3.285432, -0.181668
v, -0.707566, 3.166924, -0.159843
v, -0.654247, 3.272965, -0.173204
v, -0.621545, 2.346137, -0.564482
v, -0.645452, 2.400918, -0.631205
v, -0.599913, 2.316207, -0.626644
v, -1.432384, 2.460585, -1.478127
v, -1.366711, 2.420252, -1.512911
v, -1.346625, 2.471263, -1.399516
v, -1.027068, 3.376666, 0.503799
v, -1.005087, 3.295491, 0.482465
v, -0.943864, 3.303445, 0.471684
v, -3.037991, 1.903893, -1.014472
v, -3.035822, 1.867992, -1.021150
v, -2.959287, 1.795211, -0.974509
v, -2.194682, 1.840814, -0.666311
v, -2.053883, 1.955785, -0.644583
v, -2.233571, 1.888867, -0.617601
v, -1.948523, 2.015700, -0.583480
v, -2.027568, 2.022071, -0.605701
v, -1.637140, 2.217831, -0.491226
v, -1.540025, 2.207525, -0.420366
v, -1.685092, 2.129694, -0.453656
v, -0.994733, 3.441686, 0.433709
v, -0.956054, 3.366290, 0.415237
v, -1.052188, 3.435479, 0.396073
v, -1.075677, 3.467418, 0.474267
v, -1.105944, 3.500829, 0.530870
v, -1.147632, 3.433236, 0.506786
v, -0.782951, 2.201758, -0.350421
v, -0.784987, 3.100350, -0.179296
v, -0.817260, 3.138784, -0.221879
v, -0.731792, 2.974329, -0.202268
v, -1.045014, 3.546199, -0.402329
v, -0.978607, 3.457455, -0.357830
v, -0.917983, 3.476913, -0.244279
v, -0.867248, 3.295065, -0.296015
v, -0.699407, 3.389546, -0.397492
v, -0.732364, 3.252364, -0.365271
v, -1.793092, 3.855540, -1.001965
v, -1.661967, 3.879621, -0.966866
v, -1.721994, 3.831500, -1.036940
v, -1.652799, 3.343309, -1.265752
v, -1.760960, 3.385610, -1.241232
v, -1.644448, 3.354043, -1.203288
v, -1.321309, 3.448621, -0.943678
v, -1.343345, 3.487302, -0.997467
v, -1.360792, 3.484413, -0.924572
v, -1.684462, 3.418333, -0.864663
v, -1.599505, 3.503045, -0.858068
v, -1.764575, 3.447782, -0.959509
v, -1.015073, 4.338075, -0.798168
v, -1.014695, 4.390682, -0.972865
v, -0.911684, 4.280225, -0.789157
v, -0.715010, 4.589153, -0.870055
v, -0.724331, 4.706354, -0.708799
v, -0.712481, 4.771937, -0.787260
v, -0.628105, 4.376330, -1.096178
v, -0.603868, 4.456706, -1.040382
v, -0.593355, 4.496723, -1.087134
v, -0.545358, 4.297260, -1.062279
v, -0.445654, 4.368444, -1.069759
v, -0.391136, 4.309521, -0.963100
v, -0.689555, 4.481475, -1.076453
v, -1.597291, 3.912331, -1.210925
v, -1.495399, 3.855981, -1.276439
v, -1.594232, 3.870581, -1.284433
v, -0.786149, 4.339754, -1.126317
v, -0.906993, 4.373178, -1.079275
v, -0.847605, 4.407676, -1.059882
v, -1.537527, 3.488582, -1.352412
v, -1.508642, 3.585279, -1.387423
v, -1.418580, 3.478042, -1.328951
v, 0.146105, 2.279397, -1.111421
v, 0.171696, 2.296281, -1.190678
v, 0.224392, 2.333532, -1.174507
v, 0.356216, 1.928291, -2.414366
v, 0.355356, 1.962596, -2.325709
v, 0.370780, 1.995154, -2.335528
v, 0.529450, 2.151559, -2.779711
v, 0.477115, 2.053114, -2.775979
v, 0.425437, 2.138748, -2.761360
v, -1.370280, 2.453704, -2.210277
v, -1.374175, 2.498881, -2.268787
v, -1.409922, 2.565290, -2.268135
v, -1.375011, 2.350196, -2.231289
v, -1.426688, 2.337385, -2.148163
v, -1.465124, 2.287103, -2.193058
v, -1.382109, 2.390047, -2.386620
v, -1.373434, 2.391093, -2.298802
v, -1.454101, 2.313743, -2.392547
v, -1.457260, 2.631479, -2.185683
v, -1.477035, 2.653593, -2.256172
v, -1.523797, 2.660914, -2.112049
v, -1.505414, 2.346673, -1.830659
v, -1.401702, 2.382548, -1.723726
v, -1.442879, 2.308790, -1.758647
v, -0.109472, 2.363970, -1.499544
v, -0.062061, 2.357475, -1.400034
v, -0.101152, 2.394849, -1.374249
v, -0.940887, 2.385272, -1.306403
v, -0.876882, 2.443741, -1.223284
v, -0.827025, 2.365965, -1.245703
v, -0.785474, 2.673134, -0.760281
v, -0.789629, 2.600848, -0.747463
v, -0.839391, 2.634631, -0.851024
v, -1.509392, 2.504399, -2.065226
v, -1.472043, 2.389194, -2.076792
v, -1.474553, 2.433462, -2.107384
v, -1.701997, 2.395785, -1.935150
v, -1.786673, 2.458617, -1.959681
v, -1.786065, 2.304923, -1.932102
v, -1.523607, 2.381625, -2.027367
v, -1.372467, 3.335232, -1.049289
v, -1.446626, 3.331943, -1.027316
v, -1.490197, 3.223302, -1.067793
v, -1.927053, 2.556139, -2.176367
v, -1.941808, 2.401014, -2.151150
v, -1.864958, 2.460392, -2.025908
v, -2.909963, 1.902269, -1.353140
v, -2.954442, 1.857575, -1.401808
v, -2.999060, 1.830631, -1.282006
v, -2.268602, 1.788868, -0.917047
v, -2.239799, 1.806798, -0.793726
v, -2.306085, 1.786267, -0.830769
v, -2.985059, 1.931373, -1.153327
v, -2.920596, 1.941901, -1.268825
v, -2.946259, 1.902930, -1.231282
v, -2.572151, 1.620160, -1.067961
v, -2.660949, 1.723724, -0.937643
v, -2.761877, 1.576305, -1.031290
v, -0.500656, 0.280771, -0.263270
v, -0.312415, 1.243240, -0.495045
v, -0.367791, 1.117026, -0.438617
v, -0.430111, 1.235148, -0.391786
v, -0.687238, 2.500711, -0.607630
v, -0.644684, 2.561272, -0.634421
v, -0.629531, 2.476203, -0.513717
v, -0.350137, 0.465633, -0.487103
v, -0.459261, 0.702689, -0.363614
v, -0.336425, 0.691020, -0.497354
v, -0.314303, 1.546650, 0.335280
v, -0.235697, 1.658002, 0.347031
v, -0.306002, 1.678946, 0.277126
v, -0.436241, -0.040749, -0.238936
v, -0.552580, -0.004888, -0.109486
v, -0.473491, -0.041850, -0.145504
v, -0.456010, 0.881029, -0.366787
v, 0.162710, 0.227434, -0.535268
v, -0.004435, 0.187157, -0.557671
v, 0.040887, 0.312297, -0.562374
v, -0.356796, -0.041162, -0.330740
v, -0.409019, -0.011810, -0.379313
v, -0.491512, -0.006389, -0.294054
v, -0.222378, 0.506145, 0.473735
v, -0.126244, 0.395123, 0.512637
v, -0.049466, 0.485682, 0.533356
v, -0.412387, 1.375962, 0.305183
v, -0.479015, 1.440115, 0.217444
v, -0.467951, 1.234295, 0.276397
v, -0.142765, 0.644247, 0.520683
v, -0.195173, 0.000107, 0.470173
v, 0.013868, 0.011198, 0.454827
v, 0.140873, 0.043357, 0.455729
v, 0.034755, 0.105583, 0.455195
v, 0.488254, 0.052687, 0.148864
v, 0.454941, 0.019138, 0.242877
v, 0.529994, 0.038306, 0.193289
v, 0.486361, -0.018801, -0.326207
v, 0.386116, -0.019241, -0.459985
v, 0.358471, 0.016179, -0.589585
v, 0.275726, -0.005535, -0.489242
v, -0.210299, 0.000409, -0.501123
v, -0.110692, 0.009189, -0.560161
v, -0.188279, -0.002343, -0.579996
v, 0.240972, -0.020369, -0.405815
v, 0.253127, 0.035651, -0.481783
v, 0.054473, -0.004435, -0.590930
v, 0.115812, 0.001455, -0.546803
v, 0.443920, 0.002446, -0.502787
v, 0.441925, 0.002529, -0.374278
v, 0.431979, 0.286922, -0.286966
v, 0.379169, 0.304921, -0.380792
v, 0.115963, 0.412337, -0.534330
v, 0.197536, 0.017514, -0.549895
v, 0.251712, 0.024835, -0.362083
v, 0.207613, -0.023892, -0.379016
v, 0.212889, 0.053815, -0.415631
v, 0.159249, 0.112862, -0.521594
v, 0.188247, 0.197780, -0.501375
v, 0.199248, -0.004710, -0.470150
v, 0.389142, 0.154970, -0.332275
v, 0.531458, 0.532304, 0.152808
v, 0.293969, 0.147622, -0.412643
v, 0.338231, 0.106766, -0.389982
v, 0.264497, 0.302265, -0.405332
v, 0.477021, 0.451446, 0.254107
v, 0.358474, 0.373449, 0.334459
v, 0.245167, 0.373230, -0.498694
v, 0.309939, 0.400847, -0.414437
v, 0.067180, 0.036710, -0.536963
v, 0.234903, 0.098716, 0.398071
v, 0.308928, 0.080222, 0.345977
v, 0.252972, 0.191491, 0.395983
v, 0.187138, 0.136861, 0.442214
v, -0.072149, 0.018257, 0.482735
v, -0.239408, 0.340754, 0.461698
v, -0.210700, 0.166749, 0.448729
v, 0.244731, 0.268455, 0.366169
v, 0.316393, 0.186565, 0.350533
v, 0.332042, 0.434011, 0.397588
v, 0.385956, 0.484072, 0.328136
v, 0.298412, 0.510809, 0.433869
v, 0.307662, 0.711304, 0.437260
v, 0.328056, 0.815803, 0.391343
v, 0.245119, 0.826743, 0.438458
v, -0.034411, 0.670902, 0.535870
v, 0.055957, 0.457542, 0.532066
v, -0.054390, 0.865356, 0.533487
v, -0.081449, 1.267156, 0.527936
v, -0.147525, 1.362187, 0.504174
v, -0.270031, 1.242194, 0.459345
v, -0.227254, 0.979239, 0.493725
v, -0.176474, 0.846035, 0.503057
v, -0.200635, 1.102935, 0.500804
v, 0.529195, 1.028847, 0.094630
v, 0.553067, 0.969180, 0.117112
v, 0.088796, 0.716354, -0.598582
v, 0.139085, 0.823894, -0.596676
v, 0.213144, 0.580934, -0.560856
v, 0.351589, 0.766594, -0.442755
v, 0.449302, 0.672677, -0.405644
v, 0.292444, 0.603543, -0.481686
v, 0.191501, 0.451198, -0.518069
v, 0.373397, 0.520415, -0.436895
v, 0.315621, 0.471385, -0.442046
v, 0.546716, 0.729385, -0.255415
v, 0.519021, 0.882543, -0.272788
v, 0.468475, 0.851553, -0.369452
v, 0.496410, 1.019971, -0.318243
v, 0.302934, 0.832632, -0.434137
v, 0.322537, 1.030608, -0.442351
v, 0.428821, 1.012320, -0.411788
v, 0.514033, 0.490306, -0.217459
v, 0.517291, 0.903074, -0.170013
v, 0.552851, 0.821597, -0.234799
v, 0.561415, 0.637092, -0.011988
v, 0.551386, 0.597144, -0.107255
v, 0.576629, 0.848113, -0.139698
v, 0.580194, 0.890551, -0.032213
v, 0.559618, 0.889932, 0.050779
v, 0.538120, 1.171945, -0.019106
v, 0.546041, 1.037213, 0.179689
v, 0.490929, 0.040302, 0.286396
v, 0.393622, 0.608951, 0.333191
v, 0.351307, 0.508539, 0.335362
v, 0.488660, 0.547330, 0.233363
v, 0.502828, 0.655504, 0.249108
v, 0.537392, 0.443409, -0.037411
v, 0.511632, 0.286110, -0.049327
v, 0.498574, 0.122990, 0.070202
v, 0.456096, 0.115064, 0.175299
v, 0.384871, 0.015842, 0.317816
v, 0.182322, 0.577247, 0.508479
v, 0.138875, 0.361189, 0.482876
v, 0.354442, 0.263226, 0.308273
v, 0.491043, 0.069034, 0.031479
v, 0.475976, 0.170754, -0.069123
v, 0.704925, 2.542764, -0.758881
v, 0.712973, 2.510908, -0.685640
v, 0.460097, 1.926144, -2.817941
v, 0.407207, 2.025111, -2.934082
v, 0.406369, 2.078007, -2.878708
v, 0.016981, 0.900541, -0.611544
v, 0.078937, 1.071505, -0.606215
v, 0.809805, 2.687844, -0.068009
v, 0.606410, 2.604233, -0.180182
v, 0.554056, 2.554488, -0.085326
v, 0.838818, 2.545819, -0.109477
v, 0.929576, 2.639378, -0.145768
v, 0.755271, 2.671482, -0.235367
v, 0.748777, 2.618641, -0.292402
v, 0.641287, 2.575858, -0.259317
v, 1.085817, 2.774687, -0.256269
v, 1.089192, 2.742584, -0.209375
v, 0.974083, 2.664326, -0.198260
v, 0.968472, 2.792343, -0.131710
v, 1.292503, 2.985915, -0.292911
v, 1.446218, 3.112582, -0.371337
v, 1.281032, 2.972608, -0.361164
v, 1.433703, 3.068328, -0.442850
v, 1.443413, 3.011799, -0.432542
v, 1.353512, 3.040201, -0.398597
v, 1.141424, 2.873586, -0.216835
v, 1.116759, 2.848431, -0.292323
v, 0.956010, 2.769651, -0.271944
v, 0.671031, 3.222738, -0.406614
v, 0.573711, 3.056948, -0.375816
v, 0.683847, 3.096152, -0.419789
v, 0.546737, 2.788944, -0.303704
v, 0.518244, 2.744895, -0.386289
v, 0.564907, 2.832524, -0.390757
v, 0.683747, 3.118156, -0.487013
v, 0.582261, 3.049655, -0.476212
v, 0.604152, 2.884223, -0.436573
v, 0.742703, 2.654639, -0.678722
v, 0.624776, 2.714319, -0.724013
v, 0.595341, 2.682725, -0.645011
v, 0.501641, 2.528618, -0.456899
v, 0.529278, 2.610852, -0.539918
v, 0.489104, 1.514519, -0.315099
v, 0.748582, 2.567506, -0.654711
v, 0.625571, 2.482491, -0.528661
v, 0.404034, 2.311101, 0.007073
v, 0.281788, 2.293391, -0.054533
v, 0.320512, 2.250954, 0.017404
v, 0.476104, 2.532113, -0.269496
v, 0.524247, 1.401736, -0.107349
v, 0.558123, 1.328969, -0.195152
v, 0.519688, 1.558086, -0.229016
v, 0.535921, 1.115815, -0.081457
v, 0.487886, 1.497263, -0.027385
v, 0.497539, 1.496052, -0.149748
v, 0.390810, 2.366805, -0.166521
v, 0.464002, 2.394354, -0.118768
v, 0.402699, 2.304180, -0.115590
v, 0.470153, 1.679125, 0.025580
v, 0.425613, 1.653145, -0.043998
v, 0.416147, 1.770634, -0.025145
v, 0.459000, 1.623435, -0.114844
v, 0.388483, 1.752635, -0.236064
v, -0.317191, 1.672520, -0.355829
v, -0.330957, 1.719884, -0.260116
v, 0.280428, 1.849759, -0.326995
v, 0.239707, 1.950556, -0.321068
v, 0.421165, 1.140378, -0.401738
v, 0.362423, 2.139257, -0.269481
v, 0.320043, 2.241114, -0.225692
v, 0.311497, 2.172269, -0.208696
v, 0.327833, 1.748768, -0.322309
v, 0.383104, 1.820406, -0.215482
v, 0.319511, 1.967454, -0.235674
v, 0.337986, 1.912604, -0.169095
v, 0.336424, 2.099227, -0.121024
v, 0.297010, 1.975256, -0.111970
v, 0.353558, 1.748328, -0.135885
v, 0.298105, 2.876600, -0.296065
v, 0.354482, 3.022918, -0.349828
v, 0.263645, 2.919533, -0.256537
v, 0.448501, 3.083603, -0.446752
v, 0.402817, 3.156562, -0.414890
v, 0.358945, 3.114055, -0.458853
v, 0.319389, 3.082268, -0.354261
v, 0.320470, 2.965274, -0.377240
v, 0.233728, 2.593582, -0.120471
v, 0.194306, 2.777082, -0.159475
v, 0.627226, 2.578445, -0.798753
v, 0.597947, 2.465718, -0.716013
v, 0.277220, 2.611058, -0.377412
v, 0.222646, 2.695866, -0.372111
v, 0.239426, 2.605870, -0.302601
v, 0.258167, 2.813548, -0.306566
v, 0.160712, 2.791242, -0.419499
v, 0.123447, 2.882365, -0.474646
v, 0.102361, 2.971302, -0.455860
v, 0.197270, 2.991200, -0.398010
v, 0.414895, 3.079681, -0.457123
v, -0.017058, 2.873903, 0.022310
v, 0.050218, 2.953289, -0.026844
v, 0.111195, 2.884650, -0.002088
v, 0.147911, 3.195725, -0.401758
v, -0.043360, 3.128752, -0.408279
v, 0.009093, 2.812186, -0.367166
v, -0.028768, 2.967173, -0.422494
v, -0.034308, 2.837657, -0.449005
v, -0.085161, 2.350141, -0.350033
v, -0.087625, 2.406601, -0.302004
v, -0.035525, 2.381158, -0.359560
v, 0.307603, 3.069980, -0.395234
v, -0.025368, 2.575955, -0.384667
v, -0.038192, 2.683481, -0.455944
v, 0.007345, 2.590225, -0.484993
v, 0.038987, 2.457447, -0.209472
v, 0.232523, 2.667422, -0.266192
v, 0.167987, 2.525081, -0.243585
v, -0.034553, 2.428068, -0.339781
v, -0.043703, 2.422426, -0.415524
v, -0.035653, 2.305404, -0.412902
v, 0.415683, 1.724893, -0.083142
v, 0.195977, 1.877074, -0.389880
v, 0.219838, 2.360227, -0.279687
v, 0.176136, 2.438388, -0.321560
v, 0.241252, 2.528907, -0.091015
v, 0.215948, 2.296212, -0.200679
v, 0.444518, 2.712750, -0.301957
v, 0.350679, 2.656840, -0.367489
v, 0.380631, 2.618269, -0.271488
v, 0.251592, 2.307014, -0.204753
v, 0.230577, 2.170962, -0.381760
v, 0.356191, 2.144170, -0.339781
v, 0.139317, 2.366640, -0.413243
v, 0.240917, 2.379864, -0.388034
v, 0.193256, 2.240977, -0.391129
v, 0.366861, 2.331330, -0.372296
v, 0.119804, 2.175049, -0.445509
v, 0.196229, 1.223355, -0.576735
v, -0.005337, 1.343955, -0.597257
v, 0.036899, 2.146537, -0.457699
v, 0.059913, 2.013154, -0.386565
v, -0.048418, 2.057243, -0.453358
v, 0.070993, 2.335568, -0.430580
v, 0.093757, 2.237261, -0.374764
v, -0.036246, 2.173164, -0.364019
v, -0.031164, 2.221602, -0.565289
v, -0.077642, 2.108144, -0.462155
v, 0.131670, 1.504405, -0.575984
v, 0.172649, 1.626463, -0.480417
v, 0.212334, 2.073673, -0.354576
v, 0.052976, 1.603620, -0.533229
v, 0.235019, 1.708381, -0.398218
v, 0.240359, 1.304310, -0.558089
v, 0.372727, 1.223616, -0.470000
v, 0.306441, 1.158817, -0.483331
v, -0.069557, 1.538642, -0.554351
v, -0.115844, 1.609578, -0.486163
v, 0.307845, 1.349871, -0.502792
v, 0.187292, 1.133952, -0.556216
v, 0.077509, 1.370086, -0.611242
v, -0.162829, 1.816114, -0.399979
v, -0.126468, 1.722595, -0.411127
v, -0.053708, 2.150224, -0.585283
v, -0.403496, 2.217363, -0.621066
v, -0.376835, 2.215849, -0.511401
v, -0.387349, 2.145284, -0.533981
v, 0.131110, 3.262424, -0.417420
v, 0.098462, 3.127239, -0.478033
v, 0.050883, 3.243186, -0.497169
v, -0.015144, 2.991475, -0.477220
v, 0.159327, 2.324780, -0.896995
v, 0.184601, 2.409973, -0.812911
v, 0.134822, 2.361122, -0.748595
v, 0.454698, 2.545860, -0.373114
v, 0.483930, 2.655313, -0.286683
v, 0.318582, 2.535746, -0.380251
v, 0.186195, 2.614333, -0.416761
v, 0.511976, 2.906282, -0.375350
v, 0.417149, 2.721929, -0.357847
v, 0.507018, 2.897296, -0.332937
v, 0.535728, 2.671812, -0.354401
v, 0.406607, 3.201601, -0.531333
v, 0.494450, 2.651185, -0.418121
v, 0.401694, 2.467423, -0.526986
v, 0.484552, 2.368718, -0.523022
v, 0.415835, 2.366034, -0.457885
v, 0.496198, 2.657501, -0.830614
v, 0.537580, 2.395675, -0.583373
v, 0.474057, 2.325468, -0.439298
v, 0.517979, 2.403243, -0.472819
