forest,year
12.81434329,1990
12.91413052,1991
13.00164914,1992
13.10134373,1993
13.20103689,1994
13.30073004,1995
13.40042463,1996
13.50011778,1997
13.59981094,1998
13.69950553,1999
13.79919868,2000
13.66815938,2001
13.53712008,2002
13.40608078,2003
13.27504147,2004
13.14400217,2005
13.28258348,2006
13.42116479,2007
13.5597461,2008
13.69832597,2009
13.83690727,2010
13.95522025,2011
14.22100535,2012
14.34055664,2013
14.46010938,2014
14.57966211,2015
14.6992134,2016
